Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
ALL,0.6048982269506565,0.5874968466154069,0.17269251134797353,0.5960705620729357,0.5075528700906344,0.5508196721311476,0.16666666666666666,0.5283018867924528,168,27,163,137,331,-
CLASSES,0.6048982269506568,0.6895877559656571,0.22683295540438397,0.6444726577429071,0.5075528700906344,0.6486486486486487,0.2288135593220339,0.5694915254237288,168,27,163,91,331,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
