Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
ALL,0.4119949852303411,0.6180024034367533,0.24457803323349545,0.4943971584349993,0.3127208480565371,0.580327868852459,0.2222222222222222,0.40642939150401836,177,36,389,128,566,-
CLASSES,0.41199498523034106,0.7233693600480132,0.31413454270597124,0.524984865076059,0.3127208480565371,0.6833976833976834,0.3050847457627119,0.4290909090909091,177,36,389,82,566,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
