Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.8333333333333334,1.0,1.0,0.9090909090909091,10,2,0,12,0
conference,ekaw-iasted,HAN,CLASSES,1.0,1.0,1.0,1.0,10,0,0,10,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.76,0.8260869565217391,0.7142857142857143,0.7916666666666667,19,6,4,25,0
conference,edas-ekaw,HAN,CLASSES,0.8095238095238095,0.8947368421052632,0.8,0.8500000000000001,17,4,2,21,-
conference,edas-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,2,2,2,4,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.6,0.5454545454545454,0.16666666666666666,0.5714285714285713,6,4,5,10,0
conference,cmt-ekaw,HAN,CLASSES,1.0,0.75,0.3333333333333333,0.8571428571428571,6,0,2,6,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,4,3,4,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.8333333333333334,0.7894736842105263,0.6666666666666666,0.8108108108108109,15,3,4,18,0
conference,edas-iasted,HAN,CLASSES,0.8333333333333334,0.7894736842105263,0.6666666666666666,0.8108108108108109,15,3,4,18,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.8181818181818182,0.9,0.8,0.8571428571428572,18,4,2,22,0
conference,confOf-ekaw,HAN,CLASSES,0.8181818181818182,0.9,0.8,0.8571428571428572,18,4,2,22,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
