Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.7692307692307693,1.0,1.0,0.8695652173913044,10,3,0,13,0
conference,ekaw-iasted,HAN,CLASSES,0.9090909090909091,1.0,1.0,0.9523809523809523,10,1,0,11,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.782608695652174,0.782608695652174,0.6428571428571429,0.782608695652174,18,5,5,23,0
conference,edas-ekaw,HAN,CLASSES,0.8421052631578947,0.8421052631578947,0.7,0.8421052631578947,16,3,3,19,-
conference,edas-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,2,2,2,4,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.5454545454545454,0.5454545454545454,0.16666666666666666,0.5454545454545454,6,5,5,11,0
conference,cmt-ekaw,HAN,CLASSES,0.8571428571428571,0.75,0.3333333333333333,0.7999999999999999,6,1,2,7,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,4,3,4,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.7894736842105263,0.7894736842105263,0.6666666666666666,0.7894736842105263,15,4,4,19,0
conference,edas-iasted,HAN,CLASSES,0.7894736842105263,0.7894736842105263,0.6666666666666666,0.7894736842105263,15,4,4,19,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.8421052631578947,0.8,0.6,0.8205128205128205,16,3,4,19,0
conference,confOf-ekaw,HAN,CLASSES,0.8421052631578947,0.8,0.6,0.8205128205128205,16,3,4,19,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,0.9,1.0,1.0,0.9473684210526316,9,1,0,10,0
conference,confOf-iasted,HAN,CLASSES,0.9,1.0,1.0,0.9473684210526316,9,1,0,10,-
conference,confOf-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-sigkdd,HAN,ALL,0.8,1.0,1.0,0.888888888888889,12,3,0,15,0
conference,cmt-sigkdd,HAN,CLASSES,0.7692307692307693,1.0,1.0,0.8695652173913044,10,3,0,13,-
conference,cmt-sigkdd,HAN,PROPERTIES,1.0,1.0,1.0,1.0,2,0,0,2,-
conference,cmt-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,ALL,0.5789473684210527,0.7333333333333333,0.0,0.6470588235294117,11,8,4,19,0
conference,iasted-sigkdd,HAN,CLASSES,0.6470588235294118,0.7333333333333333,0.0,0.6875,11,6,4,17,-
conference,iasted-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,iasted-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-edas,HAN,ALL,0.6666666666666666,0.7692307692307693,0.4,0.7142857142857142,10,5,3,15,0
conference,cmt-edas,HAN,CLASSES,0.8,1.0,0.0,0.888888888888889,8,2,0,10,-
conference,cmt-edas,HAN,PROPERTIES,0.4,0.4,0.4,0.4000000000000001,2,3,3,5,-
conference,cmt-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-iasted,HAN,ALL,0.8888888888888888,0.5714285714285714,0.4,0.6956521739130435,8,1,6,9,0
conference,conference-iasted,HAN,CLASSES,0.8888888888888888,0.6153846153846154,0.4444444444444444,0.7272727272727274,8,1,5,9,-
conference,conference-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-
conference,conference-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-sigkdd,HAN,ALL,0.7,1.0,1.0,0.8235294117647058,7,3,0,10,0
conference,confOf-sigkdd,HAN,CLASSES,0.8571428571428571,1.0,1.0,0.923076923076923,6,1,0,7,-
conference,confOf-sigkdd,HAN,PROPERTIES,0.3333333333333333,1.0,1.0,0.5,1,2,0,3,-
conference,confOf-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-conference,HAN,ALL,0.8,0.8,0.7272727272727273,0.8000000000000002,12,3,3,15,0
conference,cmt-conference,HAN,CLASSES,0.7857142857142857,0.9166666666666666,0.875,0.8461538461538461,11,3,1,14,-
conference,cmt-conference,HAN,PROPERTIES,1.0,0.3333333333333333,0.3333333333333333,0.5,1,0,2,1,-
conference,cmt-conference,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-ekaw,HAN,ALL,0.6896551724137931,0.8,0.7058823529411765,0.7407407407407408,20,9,5,29,0
conference,conference-ekaw,HAN,CLASSES,0.7037037037037037,0.8260869565217391,0.7333333333333333,0.76,19,8,4,27,-
conference,conference-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,1,1,1,2,-
conference,conference-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-edas,HAN,ALL,0.7777777777777778,0.7368421052631579,0.4444444444444444,0.7567567567567567,14,4,5,18,0
conference,confOf-edas,HAN,CLASSES,0.8571428571428571,0.8571428571428571,0.6,0.8571428571428571,12,2,2,14,-
conference,confOf-edas,HAN,PROPERTIES,0.5,0.4,0.25,0.4444444444444445,2,2,3,4,-
conference,confOf-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-confOf,HAN,ALL,0.875,0.4375,0.25,0.5833333333333334,7,1,9,8,0
conference,cmt-confOf,HAN,CLASSES,0.8571428571428571,0.6,0.3333333333333333,0.7058823529411764,6,1,4,7,-
conference,cmt-confOf,HAN,PROPERTIES,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,-
conference,cmt-confOf,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-edas,HAN,ALL,0.6956521739130435,0.9411764705882353,0.9,0.7999999999999999,16,7,1,23,0
conference,conference-edas,HAN,CLASSES,0.7368421052631579,1.0,1.0,0.8484848484848484,14,5,0,19,-
conference,conference-edas,HAN,PROPERTIES,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285715,2,2,1,4,-
conference,conference-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-confOf,HAN,ALL,0.7777777777777778,0.9333333333333333,0.875,0.8484848484848485,14,4,1,18,0
conference,conference-confOf,HAN,CLASSES,0.8461538461538461,1.0,1.0,0.9166666666666666,11,2,0,13,-
conference,conference-confOf,HAN,PROPERTIES,0.6,0.75,0.75,0.6666666666666665,3,2,1,5,-
conference,conference-confOf,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-sigkdd,HAN,ALL,0.7222222222222222,0.8666666666666667,0.7142857142857143,0.7878787878787877,13,5,2,18,0
conference,conference-sigkdd,HAN,CLASSES,0.75,1.0,1.0,0.8571428571428571,12,4,0,16,-
conference,conference-sigkdd,HAN,PROPERTIES,0.5,0.3333333333333333,0.3333333333333333,0.4,1,1,2,2,-
conference,conference-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-sigkdd,HAN,ALL,0.8461538461538461,1.0,1.0,0.9166666666666666,11,2,0,13,0
conference,ekaw-sigkdd,HAN,CLASSES,0.8461538461538461,1.0,1.0,0.9166666666666666,11,2,0,13,-
conference,ekaw-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-iasted,HAN,ALL,0.8,1.0,0.0,0.888888888888889,4,1,0,5,0
conference,cmt-iasted,HAN,CLASSES,0.8,1.0,0.0,0.888888888888889,4,1,0,5,-
conference,cmt-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-sigkdd,HAN,ALL,0.8333333333333334,0.6666666666666666,0.375,0.7407407407407408,10,2,5,12,0
conference,edas-sigkdd,HAN,CLASSES,0.9090909090909091,0.9090909090909091,0.75,0.9090909090909091,10,1,1,11,-
conference,edas-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,1,4,1,-
conference,edas-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
