Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
ALL,0.7420569639187222,0.7592981184710988,0.5401416122004358,0.7505785448236372,0.739413680781759,0.7442622950819672,0.5432098765432098,0.741830065359477,227,88,80,78,307,-
CLASSES,0.8010847734093477,0.8195849792695168,0.5748677248677249,0.8102292849268996,0.8235294117647058,0.8108108108108109,0.6186440677966102,0.8171206225680934,210,73,45,49,255,-
PROPERTIES,0.2777777777777778,0.27222222222222225,0.2650793650793651,0.27497194163860833,0.4146341463414634,0.3695652173913043,0.3409090909090909,0.3908045977011494,17,15,24,29,41,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
