Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.7692307692307693,1.0,1.0,0.8695652173913044,10,3,0,13,0
conference,ekaw-iasted,HAN,CLASSES,0.9090909090909091,1.0,1.0,0.9523809523809523,10,1,0,11,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.7916666666666666,0.8260869565217391,0.7142857142857143,0.8085106382978724,19,5,4,24,0
conference,edas-ekaw,HAN,CLASSES,0.85,0.8947368421052632,0.8,0.8717948717948718,17,3,2,20,-
conference,edas-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,2,2,2,4,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.5833333333333334,0.6363636363636364,0.3333333333333333,0.6086956521739131,7,5,4,12,0
conference,cmt-ekaw,HAN,CLASSES,0.875,0.875,0.6666666666666666,0.875,7,1,1,8,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,4,3,4,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.75,0.631578947368421,0.4166666666666667,0.6857142857142857,12,4,7,16,0
conference,edas-iasted,HAN,CLASSES,0.75,0.631578947368421,0.4166666666666667,0.6857142857142857,12,4,7,16,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.8888888888888888,0.8,0.6,0.8421052631578948,16,2,4,18,0
conference,confOf-ekaw,HAN,CLASSES,0.8888888888888888,0.8,0.6,0.8421052631578948,16,2,4,18,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,1.0,0.8888888888888888,0.8,0.9411764705882353,8,0,1,8,0
conference,confOf-iasted,HAN,CLASSES,1.0,0.8888888888888888,0.8,0.9411764705882353,8,0,1,8,-
conference,confOf-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-sigkdd,HAN,ALL,0.7857142857142857,0.9166666666666666,0.6666666666666666,0.8461538461538461,11,3,1,14,0
conference,cmt-sigkdd,HAN,CLASSES,0.75,0.9,0.5,0.8181818181818182,9,3,1,12,-
conference,cmt-sigkdd,HAN,PROPERTIES,1.0,1.0,1.0,1.0,2,0,0,2,-
conference,cmt-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,ALL,0.6190476190476191,0.8666666666666667,0.5,0.7222222222222222,13,8,2,21,0
conference,iasted-sigkdd,HAN,CLASSES,0.6842105263157895,0.8666666666666667,0.5,0.7647058823529413,13,6,2,19,-
conference,iasted-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,iasted-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-edas,HAN,ALL,0.7692307692307693,0.7692307692307693,0.4,0.7692307692307693,10,3,3,13,0
conference,cmt-edas,HAN,CLASSES,1.0,1.0,0.0,1.0,8,0,0,8,-
conference,cmt-edas,HAN,PROPERTIES,0.4,0.4,0.4,0.4000000000000001,2,3,3,5,-
conference,cmt-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-iasted,HAN,ALL,0.75,0.42857142857142855,0.2,0.5454545454545454,6,2,8,8,0
conference,conference-iasted,HAN,CLASSES,0.75,0.46153846153846156,0.2222222222222222,0.5714285714285714,6,2,7,8,-
conference,conference-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-
conference,conference-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-sigkdd,HAN,ALL,0.7,1.0,1.0,0.8235294117647058,7,3,0,10,0
conference,confOf-sigkdd,HAN,CLASSES,0.8571428571428571,1.0,1.0,0.923076923076923,6,1,0,7,-
conference,confOf-sigkdd,HAN,PROPERTIES,0.3333333333333333,1.0,1.0,0.5,1,2,0,3,-
conference,confOf-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-conference,HAN,ALL,0.8,0.5333333333333333,0.36363636363636365,0.64,8,2,7,10,0
conference,cmt-conference,HAN,CLASSES,0.7777777777777778,0.5833333333333334,0.375,0.6666666666666666,7,2,5,9,-
conference,cmt-conference,HAN,PROPERTIES,1.0,0.3333333333333333,0.3333333333333333,0.5,1,0,2,1,-
conference,cmt-conference,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-ekaw,HAN,ALL,0.6428571428571429,0.72,0.5882352941176471,0.6792452830188679,18,10,7,28,0
conference,conference-ekaw,HAN,CLASSES,0.6538461538461539,0.7391304347826086,0.6,0.693877551020408,17,9,6,26,-
conference,conference-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,1,1,1,2,-
conference,conference-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-edas,HAN,ALL,0.8235294117647058,0.7368421052631579,0.4444444444444444,0.7777777777777778,14,3,5,17,0
conference,confOf-edas,HAN,CLASSES,0.9230769230769231,0.8571428571428571,0.6,0.888888888888889,12,1,2,13,-
conference,confOf-edas,HAN,PROPERTIES,0.5,0.4,0.25,0.4444444444444445,2,2,3,4,-
conference,confOf-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-confOf,HAN,ALL,0.8333333333333334,0.3125,0.08333333333333333,0.45454545454545453,5,1,11,6,0
conference,cmt-confOf,HAN,CLASSES,0.8,0.4,0.0,0.5333333333333333,4,1,6,5,-
conference,cmt-confOf,HAN,PROPERTIES,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,-
conference,cmt-confOf,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-edas,HAN,ALL,0.8,0.7058823529411765,0.5,0.7500000000000001,12,3,5,15,0
conference,conference-edas,HAN,CLASSES,0.9090909090909091,0.7142857142857143,0.42857142857142855,0.8,10,1,4,11,-
conference,conference-edas,HAN,PROPERTIES,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285715,2,2,1,4,-
conference,conference-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-confOf,HAN,ALL,0.75,0.8,0.625,0.7741935483870969,12,4,3,16,0
conference,conference-confOf,HAN,CLASSES,0.8181818181818182,0.8181818181818182,0.5,0.8181818181818182,9,2,2,11,-
conference,conference-confOf,HAN,PROPERTIES,0.6,0.75,0.75,0.6666666666666665,3,2,1,5,-
conference,conference-confOf,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-sigkdd,HAN,ALL,0.7333333333333333,0.7333333333333333,0.42857142857142855,0.7333333333333333,11,4,4,15,0
conference,conference-sigkdd,HAN,CLASSES,0.7692307692307693,0.8333333333333334,0.5,0.8,10,3,2,13,-
conference,conference-sigkdd,HAN,PROPERTIES,0.5,0.3333333333333333,0.3333333333333333,0.4,1,1,2,2,-
conference,conference-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-sigkdd,HAN,ALL,0.7857142857142857,1.0,1.0,0.88,11,3,0,14,0
conference,ekaw-sigkdd,HAN,CLASSES,0.7857142857142857,1.0,1.0,0.88,11,3,0,14,-
conference,ekaw-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-iasted,HAN,ALL,0.8,1.0,0.0,0.888888888888889,4,1,0,5,0
conference,cmt-iasted,HAN,CLASSES,0.8,1.0,0.0,0.888888888888889,4,1,0,5,-
conference,cmt-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-sigkdd,HAN,ALL,0.8181818181818182,0.6,0.25,0.6923076923076923,9,2,6,11,0
conference,edas-sigkdd,HAN,CLASSES,0.9,0.8181818181818182,0.5,0.8571428571428572,9,1,2,10,-
conference,edas-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,1,4,1,-
conference,edas-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
