Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
conference,HAN,ALL,0.7711457932046167,0.757425956435677,0.519722535478838,0.764224302989773,0.7585034013605442,0.7311475409836066,0.49382716049382713,0.7445742904841403,223,80,71,82,294,-
conference,HAN,CLASSES,0.8310119913503371,0.8134285293242469,0.524244142101285,0.822126253247058,0.8134920634920635,0.7915057915057915,0.5423728813559322,0.802348336594912,205,64,47,54,252,-
conference,HAN,PROPERTIES,0.3253968253968254,0.2880952380952381,0.28095238095238095,0.3056120248875747,0.42857142857142855,0.391304347826087,0.36363636363636365,0.4090909090909091,18,16,24,28,42,-
conference,HAN,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
