Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
ALL,0.7778800738030882,0.8042458678133063,0.589208814839067,0.7908432806193495,0.765079365079365,0.7901639344262295,0.6049382716049383,0.7774193548387096,241,98,74,64,315,-
CLASSES,0.8377164297115036,0.8700440370594016,0.6257369614512474,0.8535742554051754,0.8168498168498168,0.861003861003861,0.6949152542372882,0.8383458646616541,223,82,50,36,273,-
PROPERTIES,0.3253968253968254,0.2880952380952381,0.28095238095238095,0.3056120248875747,0.42857142857142855,0.391304347826087,0.36363636363636365,0.4090909090909091,18,16,24,28,42,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
