Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.34782608695652173,0.8,0.5,0.48484848484848486,8,15,2,23,0
conference,ekaw-iasted,HAN,CLASSES,0.34782608695652173,0.8,0.5,0.48484848484848486,8,15,2,23,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.4,0.5217391304347826,0.21428571428571427,0.4528301886792453,12,18,11,30,0
conference,edas-ekaw,HAN,CLASSES,0.4,0.631578947368421,0.3,0.4897959183673469,12,18,7,30,-
conference,edas-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,4,0,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.6666666666666666,0.5454545454545454,0.16666666666666666,0.6,6,3,5,9,0
conference,cmt-ekaw,HAN,CLASSES,0.6666666666666666,0.75,0.3333333333333333,0.7058823529411765,6,3,2,9,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,3,0,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.3,0.47368421052631576,0.16666666666666666,0.3673469387755102,9,21,10,30,0
conference,edas-iasted,HAN,CLASSES,0.3,0.47368421052631576,0.16666666666666666,0.3673469387755102,9,21,10,30,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.6470588235294118,0.55,0.1,0.5945945945945946,11,6,9,17,0
conference,confOf-ekaw,HAN,CLASSES,0.6470588235294118,0.55,0.1,0.5945945945945946,11,6,9,17,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,0.75,0.6666666666666666,0.4,0.7058823529411765,6,2,3,8,0
conference,confOf-iasted,HAN,CLASSES,0.75,0.6666666666666666,0.4,0.7058823529411765,6,2,3,8,-
conference,confOf-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-sigkdd,HAN,ALL,1.0,0.6666666666666666,0.0,0.8,8,0,4,8,0
