Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.6923076923076923,0.9,0.75,0.7826086956521738,9,4,1,13,0
conference,ekaw-iasted,HAN,CLASSES,0.8181818181818182,0.9,0.75,0.8571428571428572,9,2,1,11,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.72,0.782608695652174,0.6428571428571429,0.7499999999999999,18,7,5,25,0
conference,edas-ekaw,HAN,CLASSES,0.7619047619047619,0.8421052631578947,0.7,0.8,16,5,3,21,-
conference,edas-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,2,2,2,4,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.5454545454545454,0.5454545454545454,0.16666666666666666,0.5454545454545454,6,5,5,11,0
conference,cmt-ekaw,HAN,CLASSES,0.8571428571428571,0.75,0.3333333333333333,0.7999999999999999,6,1,2,7,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,4,3,4,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.8421052631578947,0.8421052631578947,0.75,0.8421052631578947,16,3,3,19,0
conference,edas-iasted,HAN,CLASSES,0.8421052631578947,0.8421052631578947,0.75,0.8421052631578947,16,3,3,19,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.8888888888888888,0.8,0.6,0.8421052631578948,16,2,4,18,0
conference,confOf-ekaw,HAN,CLASSES,0.8888888888888888,0.8,0.6,0.8421052631578948,16,2,4,18,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,1.0,0.7777777777777778,0.6,0.8750000000000001,7,0,2,7,0
conference,confOf-iasted,HAN,CLASSES,1.0,0.7777777777777778,0.6,0.8750000000000001,7,0,2,7,-
