Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
conference,HAN,ALL,0.7723069592618463,0.7640215871526566,0.5199498991515797,0.7681419318300935,0.7582781456953642,0.7508196721311475,0.5308641975308642,0.7545304777594729,229,86,73,76,302,-
conference,HAN,CLASSES,0.8277823436658023,0.8200984799709872,0.5144368858654572,0.8239224973671693,0.8115384615384615,0.8146718146718147,0.5932203389830508,0.8131021194605009,211,70,49,48,260,-
conference,HAN,PROPERTIES,0.3253968253968254,0.2880952380952381,0.28095238095238095,0.3056120248875747,0.42857142857142855,0.391304347826087,0.36363636363636365,0.4090909090909091,18,16,24,28,42,-
conference,HAN,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
