Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
conference,HAN,ALL,0.30369866842215254,0.5924249385326631,0.18466457289986704,0.4015487675496919,0.24428571428571427,0.5606557377049181,0.18518518518518517,0.34029850746268653,171,30,529,134,700,-
conference,HAN,CLASSES,0.30369866842215254,0.6968723148438742,0.252286470143613,0.4230368411994576,0.24428571428571427,0.6602316602316602,0.2542372881355932,0.35662148070907196,171,30,529,88,700,-
conference,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-
conference,HAN,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
