Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.1111111111111111,0.7,0.25,0.19178082191780818,7,56,3,63,0
conference,ekaw-iasted,HAN,CLASSES,0.1111111111111111,0.7,0.25,0.19178082191780818,7,56,3,63,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.13333333333333333,0.5217391304347826,0.21428571428571427,0.21238938053097348,12,78,11,90,0
conference,edas-ekaw,HAN,CLASSES,0.13333333333333333,0.631578947368421,0.3,0.22018348623853212,12,78,7,90,-
conference,edas-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,4,0,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.2692307692307692,0.6363636363636364,0.3333333333333333,0.37837837837837834,7,19,4,26,0
conference,cmt-ekaw,HAN,CLASSES,0.2692307692307692,0.875,0.6666666666666666,0.411764705882353,7,19,1,26,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,3,0,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.12698412698412698,0.42105263157894735,0.08333333333333333,0.1951219512195122,8,55,11,63,0
conference,edas-iasted,HAN,CLASSES,0.12698412698412698,0.42105263157894735,0.08333333333333333,0.1951219512195122,8,55,11,63,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.3548387096774194,0.55,0.1,0.43137254901960786,11,20,9,31,0
conference,confOf-ekaw,HAN,CLASSES,0.3548387096774194,0.55,0.1,0.43137254901960786,11,20,9,31,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,0.23809523809523808,0.5555555555555556,0.2,0.33333333333333326,5,16,4,21,0
conference,confOf-iasted,HAN,CLASSES,0.23809523809523808,0.5555555555555556,0.2,0.33333333333333326,5,16,4,21,-
conference,confOf-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-sigkdd,HAN,ALL,0.5333333333333333,0.6666666666666666,0.0,0.5925925925925926,8,7,4,15,0
conference,cmt-sigkdd,HAN,CLASSES,0.5333333333333333,0.8,0.0,0.64,8,7,2,15,-
conference,cmt-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,2,0,-
conference,cmt-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,ALL,0.2222222222222222,0.8,0.25,0.3478260869565218,12,42,3,54,0
conference,iasted-sigkdd,HAN,CLASSES,0.2222222222222222,0.8,0.25,0.3478260869565218,12,42,3,54,-
conference,iasted-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-edas,HAN,ALL,0.32,0.6153846153846154,0.0,0.4210526315789474,8,17,5,25,0
conference,cmt-edas,HAN,CLASSES,0.32,1.0,0.0,0.48484848484848486,8,17,0,25,-
conference,cmt-edas,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,5,0,-
conference,cmt-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-iasted,HAN,ALL,0.15151515151515152,0.35714285714285715,0.1,0.21276595744680848,5,28,9,33,0
conference,conference-iasted,HAN,CLASSES,0.15151515151515152,0.38461538461538464,0.1111111111111111,0.21739130434782608,5,28,8,33,-
conference,conference-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-
conference,conference-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-sigkdd,HAN,ALL,0.625,0.7142857142857143,0.3333333333333333,0.6666666666666666,5,3,2,8,0
conference,confOf-sigkdd,HAN,CLASSES,0.625,0.8333333333333334,0.5,0.7142857142857143,5,3,1,8,-
conference,confOf-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-
conference,confOf-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-conference,HAN,ALL,0.3684210526315789,0.4666666666666667,0.2727272727272727,0.4117647058823529,7,12,8,19,0
conference,cmt-conference,HAN,CLASSES,0.3684210526315789,0.5833333333333334,0.375,0.4516129032258065,7,12,5,19,-
conference,cmt-conference,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,3,0,-
conference,cmt-conference,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-ekaw,HAN,ALL,0.2765957446808511,0.52,0.29411764705882354,0.36111111111111105,13,34,12,47,0
conference,conference-ekaw,HAN,CLASSES,0.2765957446808511,0.5652173913043478,0.3333333333333333,0.37142857142857144,13,34,10,47,-
