Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
ALL,0.7777777777777778,0.9333333333333333,0.875,0.8484848484848485,14,4,1,18,0
CLASSES,0.8461538461538461,1.0,1.0,0.9166666666666666,11,2,0,13,-
PROPERTIES,0.6,0.75,0.75,0.6666666666666665,3,2,1,5,-
INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
