Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.75,0.9,0.75,0.8181818181818182,9,3,1,12,0
conference,ekaw-iasted,HAN,CLASSES,0.9,0.9,0.75,0.9,9,1,1,10,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.7692307692307693,0.8695652173913043,0.7857142857142857,0.8163265306122449,20,6,3,26,0
conference,edas-ekaw,HAN,CLASSES,0.8181818181818182,0.9473684210526315,0.9,0.8780487804878049,18,4,1,22,-
conference,edas-ekaw,HAN,PROPERTIES,0.5,0.5,0.5,0.5,2,2,2,4,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.6363636363636364,7,4,4,11,0
conference,cmt-ekaw,HAN,CLASSES,1.0,0.875,0.6666666666666666,0.9333333333333333,7,0,1,7,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,4,3,4,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.7857142857142857,0.5789473684210527,0.3333333333333333,0.6666666666666667,11,3,8,14,0
conference,edas-iasted,HAN,CLASSES,0.7857142857142857,0.5789473684210527,0.3333333333333333,0.6666666666666667,11,3,8,14,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.9473684210526315,0.9,0.8,0.9230769230769231,18,1,2,19,0
conference,confOf-ekaw,HAN,CLASSES,0.9473684210526315,0.9,0.8,0.9230769230769231,18,1,2,19,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,1.0,0.7777777777777778,0.6,0.8750000000000001,7,0,2,7,0
conference,confOf-iasted,HAN,CLASSES,1.0,0.7777777777777778,0.6,0.8750000000000001,7,0,2,7,-
conference,confOf-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-sigkdd,HAN,ALL,0.9230769230769231,1.0,1.0,0.9600000000000001,12,1,0,13,0
conference,cmt-sigkdd,HAN,CLASSES,0.9090909090909091,1.0,1.0,0.9523809523809523,10,1,0,11,-
conference,cmt-sigkdd,HAN,PROPERTIES,1.0,1.0,1.0,1.0,2,0,0,2,-
conference,cmt-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,ALL,0.55,0.7333333333333333,0.0,0.6285714285714286,11,9,4,20,0
conference,iasted-sigkdd,HAN,CLASSES,0.6111111111111112,0.7333333333333333,0.0,0.6666666666666666,11,7,4,18,-
conference,iasted-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-
conference,iasted-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-edas,HAN,ALL,0.6666666666666666,0.7692307692307693,0.4,0.7142857142857142,10,5,3,15,0
