Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,conference-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,2,0,-
conference,conference-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-edas,HAN,ALL,0.5238095238095238,0.5789473684210527,0.2222222222222222,0.5500000000000002,11,10,8,21,0
conference,confOf-edas,HAN,CLASSES,0.5238095238095238,0.7857142857142857,0.4,0.6285714285714286,11,10,3,21,-
conference,confOf-edas,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,5,0,-
conference,confOf-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-confOf,HAN,ALL,0.625,0.3125,0.08333333333333333,0.4166666666666667,5,3,11,8,0
conference,cmt-confOf,HAN,CLASSES,0.625,0.5,0.16666666666666666,0.5555555555555556,5,3,5,8,-
conference,cmt-confOf,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,6,0,-
conference,cmt-confOf,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-edas,HAN,ALL,0.24324324324324326,0.5294117647058824,0.2,0.33333333333333337,9,28,8,37,0
conference,conference-edas,HAN,CLASSES,0.24324324324324326,0.6428571428571429,0.2857142857142857,0.35294117647058826,9,28,5,37,-
conference,conference-edas,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,3,0,-
conference,conference-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-confOf,HAN,ALL,0.5714285714285714,0.5333333333333333,0.125,0.5517241379310344,8,6,7,14,0
conference,conference-confOf,HAN,CLASSES,0.5714285714285714,0.7272727272727273,0.25,0.64,8,6,3,14,-
conference,conference-confOf,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,4,0,-
conference,conference-confOf,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-sigkdd,HAN,ALL,0.391304347826087,0.6,0.14285714285714285,0.47368421052631576,9,14,6,23,0
conference,conference-sigkdd,HAN,CLASSES,0.391304347826087,0.75,0.25,0.5142857142857143,9,14,3,23,-
conference,conference-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,3,0,-
conference,conference-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-sigkdd,HAN,ALL,0.4166666666666667,0.9090909090909091,0.75,0.5714285714285715,10,14,1,24,0
conference,ekaw-sigkdd,HAN,CLASSES,0.4166666666666667,0.9090909090909091,0.75,0.5714285714285715,10,14,1,24,-
conference,ekaw-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-iasted,HAN,ALL,0.2,1.0,0.0,0.33333333333333337,4,16,0,20,0
conference,cmt-iasted,HAN,CLASSES,0.2,1.0,0.0,0.33333333333333337,4,16,0,20,-
conference,cmt-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-sigkdd,HAN,ALL,0.47058823529411764,0.5333333333333333,0.125,0.5,8,9,7,17,0
conference,edas-sigkdd,HAN,CLASSES,0.47058823529411764,0.7272727272727273,0.25,0.5714285714285714,8,9,3,17,-
conference,edas-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,4,0,-
conference,edas-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
