Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime
ALL,0.7657594373940149,0.8177959448489516,0.6127655102445019,0.7909227168848788,0.7546583850931677,0.7967213114754098,0.6172839506172839,0.7751196172248803,243,100,79,62,322,-
CLASSES,0.8187706536151179,0.8875849659765971,0.6683862433862434,0.85179022987658,0.8035714285714286,0.8687258687258688,0.711864406779661,0.8348794063079777,225,84,55,34,280,-
PROPERTIES,0.3253968253968254,0.28809523809523807,0.28095238095238095,0.30561202488757466,0.42857142857142855,0.391304347826087,0.36363636363636365,0.4090909090909091,18,16,24,28,42,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-
